Word,Definition,Other Meanings,Nominative,Dative,Accusative,Present,Imperfect,Perfect,Other Information
Agricola,Farmer,,agricola(singular) / agricolae(plural),agricolae(singular) / agricolis(plural),agricolam(singular) / agricolas(plural),,,,
Curro,Run,,,,,"I = curro , you(singular) = curris , he/she = currit , we = currimus , you(plural) = curritis , they = currunt","I = currebam , you(singular) = currebas , he/she = currebat , we = currebamus , you(singualar) = currebatis, they = currebant","I = cucurri , you(singular) = cucurristi , he/she = cucurrit , we = cucurrimus , you(singular) = cucurristis , they = cucurrerunt",
Hodie,Today,,,,,,,,
Iuvenis,Youth,Young man,iuvenis(singular) / iuvenes(plural),iuveni(singular) / iuvenibus(plural),iuvenem(singular) / iuvenes(plural),,,,
Meus,My,Mine,,,,,,,
Senex,Old man,,senex(singular) / senes(plural),seni(plural) / senibus(plural),senem(singular) / senes(plural),,,,
Sto,Stand,,,,,"I = sto , you(singular) = stas , he/she = stat , we = stamus , you(plural) = statis , they = stant","I = stabam , you(singular) = stabas , he/she = stabat , we = stabamus , you(plural) = stabatis , they = stabant","I = seti , you(singular) = stetisti , he/she = stetit , we = stetimus , you(plural) = stetistis , they = steterunt",
Optimus,Best,Excellent / Very good,,,,,,,
Volo,Want,,,,,"I = volo , you(singular) = vis , he/she = vult , we = volumus , you(plural) = vultis , they = volunt","I = volebam, you(singular) = volebas , he/she = volebat , we = volebamus , you(plural) = volebatis , they = volebant","I = volui , you(singular) = voluisti , he/she = voluit , we = voluimus , you(singular) = voluistis , they = voluerunt",
Fortis,Strong,Brave,,,,,,,
Emo,Buy,,,,,"I = emo , you(sinuglar) = emis , he/she = we = emimus , you(plural) = emitis , they = emunt","I = emebam , you(singualar) = emebas , he/she = emebat , we = emebamus , you(plural) = emebatis , they = emebant","I = emi , you(singular) = emisti , he/she = emit , we = emimus , you(plural) = emistis , they = emeverunt",
Pulso,Hit,Punch / Strike / Knocks at,,,," = pulso , you(singular) = pulsas , he/she = pulsat , we = pulsamus , you(plural) = pulsatis , they = pulsant","I = pulsabam , you(singular) = pulsabas , he/she = pulsabat , we = pulsabamus , you(singular) = pulsabatis , they = pulsabant","I = pulsavi , you(singular) = pulsavisti , he/she = pulsavit , we = pulsavimus , you(plural) = pulsavistis , they = pulsaverunt",
Bonus,Good,,,,,,,,
Malus,Bad,Evil,,,,,,,
Festino,Hurry,,,,,"I = festino , you(singular) = festinas , he/she = festinat , we = festinamus , you(plural) = festinatis , they = festinant","I = festinabam , you(singular) = festinabas , he/she = festinabat , we = festinabamus , you(plural) = festinabatis , they = festinabant","I = festinavi , you(singular) = festinavisti , he/she = festinavit , we = festinavimus , you(plural) =  festinavistis , they = festinaverunt",
Per,Through,,,,,,,,
Pugno,Fight,,,,,"I = pugno , you(singular) = pugnas , he/she = pugnat , we = pugnamus , you(plural) = pugnatis , they = pugnant","I = pugnabam , you(singular) = pugnabas , he/she = pugnabat , we = pugnabamus , you(plural) = pugnabatis , they = pugnabant","I = pugnavi , you(singular) = pugnavisti , he/she = pugnavit , we = pugnavimus , you(plural) = pugnavistis , they = pugnaverunt",
Scribo,Write,,,,,"I = scribo , you(singular) = scribis , he/she = scribit , we = scribimus , you(plural) = scribitis , they = scribunt","I = scribebam , you(singular) = scirbebas , he/she = scribebat , we = scribebamus , you(singular) = scribebatis , they = scribebant","I = scripsi , you(singular) = scripsisti , he/she = scripsit , we = scripsimus , you(plural) = scripsistis , they = scripserunt",
Tuus,Your,,,,,,,,
